VIRTUAL TOWER
PRIVATIZATION
GROUND DELAY PROGRAM
APPROPRIATIONS
OPERATING INCOME
BOARD
DECLARE
CONNECTING FLIGHT
LAVATORY
AIR TRAFFIC ORGANIZATION
COST PER AVAILABLE SEAT MILE
GROUND CONTROL
CRUISE
LIFT
METROPLEX
FACILITIES AND EQUIPMENT
AIRCRAFT
AUTOMATED FLIGHT SERVICE STATION
FISCAL YEAR
USER FEE
DISPATCHER
ECONOMIC IMPACT
FLIGHT MANAGEMENT SYSTEM
TRANSPONDER
REVENUE AIRCRAFT MILE
REPAIR
EN ROUTE AUTOMATION MODERNIZATION
VIOLENT ACTS AT AIRPORTS PROTOCOL
STANDBY
TURBULENCE
NET PROFIT
INSTRUMENT FLIGHT RULES
ELECTRONIC SYSTEM FOR TRAVEL AUTHORIZATION
FUSELAGE
COTERMINALIZATION
NAVIGATIONAL AID
INTENT
AIRPORT AND AIRWAY TRUST FUND
STAGE 2 AIRCRAFT
AVAILABLE TON MILE
PRECISION RUNWAY MONITOR
PRESSURIZED AIRCRAFT
REQUIRED SURVEILLANCE PERFORMANCE
METRIC TON
PERSONAL AVIATION
ROLL
TRAJECTORYBASED OPERATIONS
CURRENT DOLLAR
BOARDING PASS
REQUIRED NAVIGATION PERFORMANCE
AIRPORT IMPROVEMENT PROGRAM
UNMANNED AIRCRAFT SYSTEM
TAXI
NAV CANADA
MICROJET
AIRLINE
INSTRUMENT LANDING SYSTEM
JET LAG
PETROLEUM
SECURE FLIGHT
PERFORMANCEBASED NAVIGATION
FOSSIL FUELS
SUPERSONIC FLIGHT
AIRPORT
HAZARDOUS MATERIAL
VISA
ALTIMETER
ESSENTIAL AIR SERVICE
AVIATION SAFETY INFORMATION ANALYSIS AND SHARING
DIRECTIONAL INFRARED COUNTERMEASURES
COMMITTED BALANCE
YIELD
AIR CARGO 
OXYGEN MASK
DUTYFREE
FLIGHT TIME
SPOILERS
RUNWAY
VERTICAL STABILIZER
COMPRESSOR
ARRIVAL
MAJOR CARRIER
CODE OF FEDERAL REGULATIONS
CHICAGO CONVENTION
LOCAL AREA AUGMENTATION SYSTEM
FLIGHT SEGMENT
UNOBLIGATED BALANCE
NEAR MIDAIR COLLISION
COMBI
TRAFFIC ALERT AND COLLISION AVOIDANCE SYSTEM
OPERATING PROFIT MARGIN
UNITED STATES VISITOR AND IMMIGRANT INDICATOR TECHNOLOGY
COMPUTER RESERVATION SYSTEM
GENERAL AVIATION
INFRASTRUCTURE
MAIL TON MILE
CERTIFICATED AIR CARRIER 
FEDERAL ENERGY REGULATORY COMMISSION
