Date,Close,Returns,Absolute_Returns,Negative_Sentiment,Article_Count,Monday,January,GFC,COVID
2004-01-05 00:00:00,20.89267,-358.27743188484277,358.27743188484277,-1.650448190331266,1,1,1,0,0
2004-01-06 00:00:00,21.389517,235.02562442627655,235.02562442627655,-0.7523120238161926,1,0,1,0,0
2004-01-07 00:00:00,21.612673,103.78913410117562,103.78913410117562,0.1928249647420752,3,0,1,0,0
2004-01-08 00:00:00,21.978989,168.07095952958528,168.07095952958528,0.9267751494284503,2,0,1,0,0
2004-01-09 00:00:00,21.684248,-135.00853220350163,135.00853220350163,2.8659989620934065,3,0,1,0,0
2004-01-12 00:00:00,21.671618,-5.826201399030619,5.826201399030619,0.36663441053376694,1,1,1,0,0
2004-01-13 00:00:00,21.831621,73.55945219555277,73.55945219555277,2.55530626828773,2,0,1,0,0
2004-01-14 00:00:00,22.892675,474.57566978977053,474.57566978977053,0.6848224798071055,3,0,1,0,0
2004-01-15 00:00:00,23.612677,309.66738433616575,309.66738433616575,0.01254595349024451,3,0,1,0,0
2004-01-16 00:00:00,24.370573,315.92651046909623,315.92651046909623,0.3890512762801556,3,0,1,0,0
2004-01-20 00:00:00,24.126362,-100.71278286066519,100.71278286066519,0.9163361007360652,2,0,1,0,0
2004-01-21 00:00:00,23.802151,-135.29146845190863,135.29146845190863,-2.3352503505482227,0,0,1,0,0
2004-01-22 00:00:00,22.766357,-444.9207868565504,444.9207868565504,-0.08426303133767869,4,0,1,0,0
2004-01-23 00:00:00,22.492674,-120.94219867989885,120.94219867989885,-0.22839869729214496,4,0,1,0,0
2004-01-26 00:00:00,22.416883,-33.752758662922155,33.752758662922155,-2.3352503505482227,0,1,1,0,0
2004-01-27 00:00:00,20.762146,-766.8295550072996,766.8295550072996,-0.5577699168781818,4,0,1,0,0
2004-01-28 00:00:00,14.791607,-3390.7149950764574,3390.7149950764574,0.06014258276085502,26,0,1,0,0
2004-01-29 00:00:00,14.631607,-108.75873527971821,108.75873527971821,0.9859891970089093,8,0,1,0,0
2004-01-30 00:00:00,14.736869,71.68397212598181,71.68397212598181,1.9171674616277974,4,0,1,0,0
2004-02-02 00:00:00,13.894763,-588.4044244728273,588.4044244728273,0.9009900702564467,7,1,0,0,0
2004-02-03 00:00:00,15.052661,800.4277964309537,800.4277964309537,0.22582370207908278,32,0,0,0,0
2004-02-04 00:00:00,15.751608,453.87669101416463,453.87669101416463,0.6945807535598073,11,0,0,0,0
2004-02-05 00:00:00,16.568453,505.58010284962,505.58010284962,1.4526329373274323,2,0,0,0,0
2004-02-06 00:00:00,16.631611,38.04696050469349,38.04696050469349,0.5320118663903102,7,0,0,0,0
2004-02-09 00:00:00,16.395819,-142.7879833051923,142.7879833051923,0.7171112850032775,3,1,0,0,0
2004-02-10 00:00:00,15.898976,-307.7165866675366,307.7165866675366,1.041041918384035,6,0,0,0,0
2004-02-11 00:00:00,15.865294,-21.20748414740141,21.20748414740141,1.0250324648560543,3,0,0,0,0
2004-02-12 00:00:00,15.675819,-120.14622263900402,120.14622263900402,0.4891855857864255,3,0,0,0,0
2004-02-13 00:00:00,15.528451,-94.45444205901264,94.45444205901264,0.3409020652783958,2,0,0,0,0
2004-02-17 00:00:00,15.827398,190.68599183844066,190.68599183844066,-2.3352503505482227,0,0,0,0,0
2004-02-18 00:00:00,15.583187,-155.49912287668818,155.49912287668818,-2.3352503505482227,0,0,0,0,0
2004-02-19 00:00:00,14.964237,-405.29422276458195,405.29422276458195,-0.31888843435385095,1,0,0,0,0
2004-02-20 00:00:00,14.846343,-79.09582076880442,79.09582076880442,0.7747315879888594,1,0,0,0,0
2004-02-23 00:00:00,14.711607,-91.167982370406,91.167982370406,3.9378756109453783,1,1,0,0,0
2004-02-24 00:00:00,14.627398,-57.404285688242744,57.404285688242744,-0.19059296706547355,4,0,0,0,0
2004-02-25 00:00:00,14.353712,-188.87760776000349,188.87760776000349,0.6944450669704076,1,0,0,0,0
2004-02-26 00:00:00,14.534762,125.34574894812542,125.34574894812542,-0.10464986761479221,8,0,0,0,0
2004-02-27 00:00:00,14.572659,26.03942232699356,26.03942232699356,0.4491898487253708,2,0,0,0,0
2004-03-01 00:00:00,15.056873,326.87462849732634,326.87462849732634,-0.3084173745045688,2,1,0,0,0
2004-03-02 00:00:00,14.661078,-266.3833751086607,266.3833751086607,-1.1698301604542278,1,0,0,0,0
2004-03-03 00:00:00,14.383184,-191.3648075893162,191.3648075893162,-0.6811572314562778,2,0,0,0,0
2004-03-04 00:00:00,14.2695,-79.35354087923484,79.35354087923484,-2.3352503505482227,0,0,0,0,0
2004-03-05 00:00:00,14.43371,114.42050665019832,114.42050665019832,0.1484905429570914,2,0,0,0,0
2004-03-08 00:00:00,14.43371,0.0,0.0,-2.3352503505482227,0,1,0,0,0
2004-03-09 00:00:00,14.505292,49.471053625514266,49.471053625514266,0.15391902833906884,4,0,0,0,0
2004-03-10 00:00:00,14.421078,-58.22662015885675,58.22662015885675,1.0682541604749016,1,0,0,0,0
2004-03-11 00:00:00,14.160027,-182.67891300753342,182.67891300753342,-0.4488961219042414,7,0,0,0,0
2004-03-12 00:00:00,14.143184,-11.901831200866349,11.901831200866349,-2.3352503505482227,0,0,0,0,0
2004-03-15 00:00:00,13.637918,-363.7881045476462,363.7881045476462,0.6365460296802486,2,1,0,0,0
2004-03-16 00:00:00,13.263184,-278.619248715513,278.619248715513,-0.23937598626060325,5,0,0,0,0
2004-03-17 00:00:00,13.385288,91.6411676690793,91.6411676690793,-0.6232681384847769,2,0,0,0,0
2004-03-18 00:00:00,13.389499,3.145496570876594,3.145496570876594,0.422007339503616,1,0,0,0,0
2004-03-19 00:00:00,13.225288,-123.39988576142528,123.39988576142528,-0.6245360551344455,2,0,0,0,0
2004-03-22 00:00:00,13.132657,-70.28725597057512,70.28725597057512,0.3807280486893478,2,1,0,0,0
2004-03-23 00:00:00,13.578973,334.2046450248504,334.2046450248504,-0.4594158502720216,2,0,0,0,0
2004-03-24 00:00:00,13.461079,-87.20008899379279,87.20008899379279,-0.20743124300642313,1,0,0,0,0
2004-03-25 00:00:00,14.084238,452.538153074606,452.538153074606,-0.6372613684898044,2,0,0,0,0
2004-03-26 00:00:00,14.374764,204.17869398966903,204.17869398966903,-0.7380838356669447,2,0,0,0,0
2004-03-29 00:00:00,14.307395,-46.976326914692294,46.976326914692294,5.248678050660459,1,1,0,0,0
2004-03-30 00:00:00,14.286343,-14.724905015073483,14.724905015073483,0.49802856739052215,8,0,0,0,0
2004-03-31 00:00:00,14.395815,76.33493377959091,76.33493377959091,0.7432471699567464,7,0,0,0,0
2004-04-01 00:00:00,14.429502,23.373214134092205,23.373214134092205,-0.0386483036285314,1,0,0,0,0
2004-04-02 00:00:00,14.610554,124.69283521359297,124.69283521359297,0.8326000414778479,1,0,0,0,0
2004-04-05 00:00:00,14.858977,168.60050112480766,168.60050112480766,-0.4361047292770818,6,1,0,0,0
2004-04-06 00:00:00,14.821082,-25.535677400000704,25.535677400000704,0.08145522513954784,5,0,0,0,0
2004-04-07 00:00:00,15.69687,574.107027719071,574.107027719071,1.6291310593019122,3,0,0,0,0
2004-04-08 00:00:00,15.797925,64.17272873092338,64.17272873092338,-0.36001615766862716,5,0,0,0,0
2004-04-12 00:00:00,15.667397,-82.96673317887922,82.96673317887922,2.2142389950046413,4,1,0,0,0
2004-04-13 00:00:00,15.410556,-165.2919982831682,165.2919982831682,0.9200529330601463,7,0,0,0,0
2004-04-14 00:00:00,15.658976,159.91569748841133,159.91569748841133,0.5848030718420676,8,0,0,0,0
2004-04-15 00:00:00,15.330556,-211.9633791710581,211.9633791710581,-2.3352503505482227,0,0,0,0,0
2004-04-16 00:00:00,15.115817,-141.06281943493107,141.06281943493107,-2.3352503505482227,0,0,0,0,0
2004-04-19 00:00:00,15.45266,220.39477772674593,220.39477772674593,-2.3352503505482227,0,1,0,0,0
2004-04-20 00:00:00,14.496868,-638.4853071411694,638.4853071411694,0.9870476626389872,2,0,0,0,0
2004-04-21 00:00:00,14.631607,92.51425693376974,92.51425693376974,3.0638564374981234,6,0,0,0,0
2004-04-22 00:00:00,14.905292,185.32265890954923,185.32265890954923,-2.3352503505482227,0,0,0,0,0
2004-04-23 00:00:00,14.888449,-11.30640277383575,11.30640277383575,-2.3352503505482227,0,0,0,0,0
2004-04-26 00:00:00,14.572659,-214.38575561644166,214.38575561644166,-2.3352503505482227,0,1,0,0,0
2004-04-27 00:00:00,14.715816,97.75731926224593,97.75731926224593,0.34534451299365493,5,0,0,0,0
2004-04-28 00:00:00,14.273711,-305.0338002500073,305.0338002500073,-0.30764937537523424,2,0,0,0,0
2004-04-29 00:00:00,14.117922,-109.74399645556767,109.74399645556767,-0.4016952914014179,2,0,0,0,0
2004-04-30 00:00:00,14.0295,-62.82798535561578,62.82798535561578,-2.3352503505482227,0,0,0,0,0
2004-05-03 00:00:00,13.7895,-172.54822570796378,172.54822570796378,1.4352449192749497,4,1,0,0,0
2004-05-04 00:00:00,13.709499,-58.184827528428954,58.184827528428954,-2.3352503505482227,0,0,0,0,0
2004-05-05 00:00:00,13.503183,-151.63514805989533,151.63514805989533,0.7375419710170803,6,0,0,0,0
2004-05-06 00:00:00,12.934762,-430.0701965299501,430.0701965299501,0.43690672651554185,10,0,0,0,0
2004-05-07 00:00:00,12.728446,-160.79084501576833,160.79084501576833,1.7612386320828908,5,0,0,0,0
2004-05-10 00:00:00,13.027393,232.14963096383,232.14963096383,-0.016452063771293705,2,1,0,0,0
2004-05-11 00:00:00,13.132657,80.47734475049161,80.47734475049161,-0.4605556488065506,4,0,0,0,0
2004-05-12 00:00:00,13.124236,-6.414315881719203,6.414315881719203,0.960347811822722,3,0,0,0,0
2004-05-13 00:00:00,13.288445,124.3426335274775,124.3426335274775,-0.7899600427823091,3,0,0,0,0
2004-05-14 00:00:00,13.086341,-153.25846121347558,153.25846121347558,0.6072836505762259,4,0,0,0,0
2004-05-17 00:00:00,12.736867,-270.68312957247537,270.68312957247537,0.33780332314417266,1,1,0,0,0
2004-05-18 00:00:00,13.309499,439.77289293269416,439.77289293269416,0.6667213082635473,1,0,0,0,0
2004-05-19 00:00:00,13.418972,81.91535695948268,81.91535695948268,-1.3197050608481256,3,0,0,0,0
2004-05-20 00:00:00,13.338973,-59.79475505890201,59.79475505890201,-0.9911471325084665,3,0,0,0,0
2004-05-21 00:00:00,13.393709,40.95068088688994,40.95068088688994,0.3627919125402888,4,0,0,0,0
2004-05-24 00:00:00,13.17055,-168.01842643260503,168.01842643260503,-1.0649423433457685,1,1,0,0,0
2004-05-25 00:00:00,13.284235,85.9471735016211,85.9471735016211,1.7040258164599233,4,0,0,0,0
2004-05-26 00:00:00,13.073709,-159.7472678635704,159.7472678635704,0.5866138054916973,5,0,0,0,0
2004-05-27 00:00:00,13.141078,51.397822388718986,51.397822388718986,1.2763659563453822,2,0,0,0,0
2004-05-28 00:00:00,12.922131,-168.0162643106162,168.0162643106162,0.39316078275748145,2,0,0,0,0
2004-06-01 00:00:00,13.010551,68.19220830324925,68.19220830324925,0.14336090171129817,20,0,0,0,0
2004-06-02 00:00:00,13.48213,356.0446120655017,356.0446120655017,1.6389523207399705,13,0,0,0,0
2004-06-03 00:00:00,13.688446,151.870144726609,151.870144726609,0.1493917326438467,4,0,0,0,0
2004-06-04 00:00:00,13.730553,30.71376391300332,30.71376391300332,1.1289147958175498,4,0,0,0,0
2004-06-07 00:00:00,13.55792,-126.52617318938672,126.52617318938672,0.3509880620112242,1,1,0,0,0
