obs,pos_t_ratios,neg_t_ratios,med_vol_t_ratios,pos_coeffs,neg_coeffs,med_vol_coeffs
"2021-03-31 00:0",0.32760794179186,2.05039676318131,2.69360887504391,1.08323875116384,6.84642441611105,0.731566712102832
"2021-04-01 00:0",0.212931763563212,1.98083430935465,2.70921487040119,0.701154472070517,6.67005597867202,0.739948391160785
"2021-04-05 00:0",0.187220190474971,1.95792318484655,2.69383725247587,0.617593768159078,6.5465563587846,0.733998660073919
"2021-04-06 00:0",0.171602535139651,1.97656978796195,2.70300469125092,0.565579421562656,6.59935055983643,0.737131002141949
"2021-04-07 00:0",0.156221579807325,1.95821204785117,2.66175411961446,0.515440713523144,6.52437226593089,0.722284212279563
"2021-04-08 00:0",0.181190897591171,1.983463363498,2.68005210675085,0.610954244291495,6.55722378998103,0.725011984891337
"2021-04-09 00:0",0.129488694342865,2.01072097179105,2.73600118727283,0.43661267074179,6.65970763428165,0.735544664192286
"2021-04-12 00:0",0.133335780625141,2.25052093718473,2.58632106309454,0.448140480209472,7.48851302363876,0.698654971488335
"2021-04-13 00:0",0.00740536514667399,2.22023050764322,2.7607073579086,0.0241434642325555,7.30757625425808,0.734158490064334
"2021-04-14 00:0",-0.0689172052273338,2.23133448124541,2.76373810836374,-0.222926939466825,7.31729782540815,0.731397811626005
"2021-04-15 00:0",-0.315253098110265,2.23584540223069,2.70516831305975,-0.998443715471858,7.2431677762476,0.71413534532034
"2021-04-16 00:0",-0.311674397707467,2.178151824805,2.67421925917057,-0.987026299273658,7.18548988575541,0.70652765417312
"2021-04-19 00:0",-0.477493253526457,2.21545948895627,2.67780508723597,-1.51179710091162,7.29141885559344,0.706377500227249
"2021-04-20 00:0",-0.496912531444957,2.24376953277915,2.63642606209293,-1.57798766542043,7.40850460374885,0.698264300712404
"2021-04-21 00:0",-0.471864080857593,2.20000762706757,2.6434559618725,-1.49525024766787,7.28974661560839,0.700504582770017
"2021-04-22 00:0",-0.445739555159129,2.1969483857696,2.67843043168976,-1.43933375235524,7.27865244904224,0.707853671810804
"2021-04-23 00:0",-0.282771125999774,2.52089835945049,2.74856213825983,-0.887948149228082,8.18626367543362,0.726469842768599
"2021-04-26 00:0",-0.175019066769282,2.4338188785643,2.66394416177975,-0.547308757379786,7.89635545131628,0.710499936052098
"2021-04-27 00:0",0.00953547564840901,2.52841364943099,2.68527864671081,0.0291621294139671,8.09782568953609,0.713450088819031
"2021-04-28 00:0",-0.0229646468247023,2.50836025866202,2.76782945397558,-0.0697135676546461,8.0056595249014,0.742708273413291
"2021-04-29 00:0",0.0137212735306263,2.535280954037,2.89161773018774,0.042178887191905,8.07146581068997,0.763758983942856
"2021-04-30 00:0",-0.0189437011221125,2.57304970133964,3.08629443248697,-0.0583444608404957,8.25422227823693,0.832114137071745
"2021-05-03 00:0",-0.0377978477112533,2.57789634229082,2.99171095958247,-0.116542712340155,8.29343694942541,0.820305750119178
"2021-05-04 00:0",0.022178389347438,2.62062633890183,3.04423174109342,0.0664262486167272,8.42298033647068,0.831459859388577
"2021-05-05 00:0",0.0464965684100411,2.39287099344859,2.63483819363513,0.137683089309976,7.41206050132857,0.763039555601717
"2021-05-06 00:0",0.0408659511011058,2.3909437216372,2.66158733063334,0.120445399475563,7.45567160980895,0.768772217750445
"2021-05-07 00:0",-0.0396328809791213,2.35363869528895,3.30890806067704,-0.117277897198804,7.29581890694776,0.86460285873
"2021-05-10 00:0",-0.126647076113328,2.42625596476909,3.44138149574615,-0.367622914575079,7.6898360563694,0.893637788635296
"2021-05-11 00:0",-0.111451620931235,2.37792160156403,3.40151301479793,-0.322659953260616,7.5395515861345,0.885726689830463
"2021-05-12 00:0",0.0546638179464338,2.21662606109165,3.26359401612873,0.156526869165399,6.49938020851566,0.852945844376436
"2021-05-13 00:0",-0.058758147060081,2.2613053100913,3.52640190295583,-0.169716444696345,6.66686506314488,0.90901658900062
"2021-05-14 00:0",-0.0545248995115342,2.25822568378683,3.48138272543065,-0.156573156501072,6.62561751478276,0.908791490937025
"2021-05-17 00:0",-0.0203356453784055,2.16195990717173,3.65661740212129,-0.0583472763526639,6.28906863639689,0.964784353594584
