AISLE
ARRIVAL
BAGGAGE
BOARD
BOARDING PASS
BULKHEAD
CARRYON
CARRYON
COACH
COCKPIT
CONNECTION
CREW
CUSTOMS
DECLARE
DEPARTURE
DUTYFREE
FIRST CLASS
FLIGHT ATTENDANT
FLIGHT DECK
GATE
ITINERARY
JET ENGINE
JET LAG
JUMBO JET
LANDING
LAVATORY
LUGGAGE
ONEWAY
OVERBOOK
OXYGEN MASK
ASSPORT
PILOT
PROPELLER
ROUND TRIP
RUNWAY
SEAT BELT
SECURITY
STANDBY
STOPOVER
TAKEOFF
TAXI
TURBULENCE
VISA
WINDOW SEAT
WING
